City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,23.52,59,100,11.86,PN,1711834859
1,tayu,-6.5397,111.0518,25.19,90,19,3.13,ID,1711835159
2,waitangi,-43.9535,-176.5597,15.46,97,100,3.58,NZ,1711835159
3,severo-yeniseyskiy,60.3725,93.0408,-1.9,95,100,2.68,RU,1711835160
4,edinburgh of the seven seas,-37.0676,-12.3116,14.42,62,89,0.57,SH,1711835160
5,new norfolk,-42.7826,147.0587,13.84,87,99,0.56,AU,1711835160
6,constantia,44.1833,28.65,10.39,83,2,4.93,RO,1711835095
7,bilibino,68.0546,166.4372,-25.12,93,69,1.85,RU,1711835161
8,ancud,-41.8697,-73.8203,11.8,66,89,3.67,CL,1711835161
9,tiksi,71.6872,128.8694,-13.99,79,100,6.02,RU,1711835162
10,novyy urgal,51.0736,132.5642,-9.0,91,89,0.45,RU,1711835162
11,port-aux-francais,-49.35,70.2167,5.32,89,100,9.12,TF,1711835163
12,olonkinbyen,70.9221,-8.7187,-6.11,64,100,9.9,SJ,1711835163
13,grytviken,-54.2811,-36.5092,0.87,84,74,6.78,GS,1711835163
14,invercargill,-46.4,168.35,10.57,97,85,1.79,NZ,1711835164
15,pisco,-13.7,-76.2167,28.03,61,0,9.26,PE,1711835054
16,vorgashor,67.5833,63.95,-21.28,99,99,3.22,RU,1711835164
17,vila franca do campo,37.7167,-25.4333,13.23,75,100,9.24,PT,1711835165
18,antsohihy,-14.8796,47.9875,25.03,91,79,1.05,MG,1711835165
19,watsa,3.0372,29.5355,19.5,91,86,1.3,CD,1711835165
20,miyako,39.6367,141.9525,7.2,81,65,2.28,JP,1711835166
21,vielha,42.6846,0.7726,0.04,96,80,3.57,ES,1711835166
22,ushuaia,-54.8,-68.3,5.81,61,40,10.29,AR,1711835167
23,marsh harbour,26.5412,-77.0636,20.91,51,31,3.94,BS,1711835167
24,whitehorse,60.7161,-135.0538,5.43,45,75,7.72,CA,1711834707
25,hawaiian paradise park,19.5933,-154.9731,26.04,73,40,4.12,US,1711835168
26,nacozari de garcia,30.3742,-109.6908,19.66,22,99,10.08,MX,1711835168
27,ilulissat,69.2167,-51.1,-7.99,67,20,0.0,GL,1711835168
28,taoudenni,22.6783,-3.9836,27.48,15,3,2.98,ML,1711835169
29,san fernando,15.0286,120.6898,24.85,88,60,1.27,PH,1711835169
30,kodiak,57.79,-152.4072,5.73,93,100,6.17,US,1711835169
31,haiku-pauwela,20.9219,-156.3051,26.79,72,40,10.29,US,1711835170
32,nemuro,43.3236,145.575,1.66,93,94,8.34,JP,1711835170
33,menzelinsk,55.7271,53.1026,1.79,99,100,4.92,RU,1711835171
34,wailua homesteads,22.0669,-159.378,25.44,70,20,7.2,US,1711835172
35,ribeira grande,38.5167,-28.7,13.22,76,75,4.92,PT,1711835172
36,ketchikan,55.3422,-131.6461,8.52,61,100,2.57,US,1711834945
37,puerto ayora,-0.7393,-90.3518,28.98,91,99,3.13,EC,1711835173
38,bredasdorp,-34.5322,20.0403,19.56,76,24,1.96,ZA,1711835173
39,utrik,11.2278,169.8474,26.98,81,34,9.56,MH,1711835174
40,albany,42.6001,-73.9662,11.44,43,54,1.34,US,1711835095
